Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.",
I14352,I14352,GENLAB 93; SK41,petrous,2021,PattersonNature2021,Direct: IntCal20; date of a cranial fragment found amid commingled bones of two neonates that are plausibly twins as they are infant sisters buried together so we take this as a direct date on both individuals,2048,49,"193-6 calBCE (2084±30 BP, SUERC-27314)",neonate,England_LIA_sister.I14351,"England, West Yorkshire, Wattle Syke",United Kingdom,53.9085,-1.384997,Repulldown on 3.2M snpset,1240K,1,0.888506,535606,288642,F,"United Kingdom, England, Wattle Syke Family B (2 members) (I14351 and I14352 are sisters)",n/a (female),n/a (female),354,K2a,"[0.985,0.997]",0.093,0.006,ss.half,S14352.Y1.E1.L1,PASS,damage.ss.half=0.093,
I13710,I13710,"GENLAB 138, ExEKA09, Zone 21 (ID 126180; Context 126181, ExEKA09, Zone 21)",petrous; petrous; petrous,2021,PattersonNature2021,Direct: IntCal20,3252,59,"1411-1203 calBCE (3040±35 BP, SUERC-40714)","adult , 45-55",England_MBA,"England, Kent, East Kent Access Road",United Kingdom,51.3603,1.3405,Repulldown on 3.2M snpset,1240K,3,0.239629,230342,125295,M,n/a (no relatives detected),R-DF63,R1b1a1b1a1a2c1b,31.505643,I4a,..,0.349,0.39340196,"ss.half,ss.half,ds.half","S13710.Y1.E2.L1,S13710.Y1.E3.L1,S13710.Y1.E1.L1",PASS,..,
I13714,I13714,"GENLAB 142, ExEKA09, Zone 23 (ID 290481; Context 290482, ExEKA09, Zone 23)",petrous,2021,PattersonNature2021,Direct: IntCal20,3423,32,"1533-1417 calBCE (3210±35 BP, SUERC-40723)","adult , 20-23",England_MBA,"England, Kent, East Kent Access Road",United Kingdom,51.3603,1.3405,Repulldown on 3.2M snpset,1240K,1,4.28184,802687,445081,M,n/a (no relatives detected),R-CTS6919,R1b1a1b1a1a2c1b1,483.6,H1c8,"[0.992,1.000]",0.13,0.427,ds.half,S13714.Y1.E1.L1,PASS,..,
I16403,I16403,TB 223; F.208,petrous,2021,PattersonNature2021,Context: Shares 10cM X chromosome IBD with rath3.SG and also 16 cM X chromosome IBD with I7640,3425,72,1600-1350 BCE,..,England_MBA,"England, North Yorkshire, Cockerham, Elbolton Cave",United Kingdom,54.050362,-1.989273,Repulldown on 3.2M snpset,1240K,1,0.586332,417757,224130,M,n/a (no relatives detected),R-DF13,R1b1a1b1a1a2c1,111.7,K2a,"[0.971,0.990]",0.085,0.430047573,ss.half,S16403.Y1.E1.L1,PASS,damage.ss.half=0.085,
I16454,I16454,TB 195; Cist 8,petrous,2021,PattersonNature2021,Direct: IntCal20,3162,67,"1381-1056 calBCE (2985±35 BP, SUERC-16818)",..,England_MBA,"England, Cornwall, St. Merryn, Constantine Island",United Kingdom,50.536523,-5.025273,Repulldown on 3.2M snpset,1240K,1,0.904454,573481,317074,M,n/a (no relatives detected),R-Z260,R1b1a1b1a1a2c,143.5,U5b2b2,"[0.982,0.997]",0.119,0.42,ds.half,S16454.Y1.E1.L1,PASS,..,
I16616,I16616,HA210862 (DUP),tooth (molar),2021,PattersonNature2021,Direct: IntCal20,3273,48,"1410-1227 calBCE (3057±28 BP, SUERC-95020)",..,England_MBA,"England, Sussex, Brighton, Mile Oak",United Kingdom,50.849209,-0.223278,Repulldown on 3.2M snpset,1240K,1,0.014002,15641,8446,F,n/a (no relatives detected),n/a (female),n/a (female),70.46,H13a1a1,"[0.976,0.993]",0.114,0.033628319,ds.half,S16616.Y1.E1.L1,QUESTIONABLE,sexratio=0.034,
I19857,I19857,"GENLAB 104, 57814 (ID 4644; Context 4645)",petrous,2021,PattersonNature2021,Direct: IntCal20,3423,26,"1518-1425 calBCE (3213±28 BP, SUERC-41692)","adult , 30-40",England_MBA,"England, Wiltshire, Rowbarrow",United Kingdom,51.052725,-1.7862875,Repulldown on 3.2M snpset,1240K,1,2.328,672567,363196,M,n/a (no relatives detected),R-L617,R1b1a1b1a1a2a2a,128.3,J2b1a,"[0.989,0.999]",0.23,0.458,ss.half,S19857.Y1.E1.L1,PASS,..,
I19858,I19858,"GENLAB 105, 57814 (ID 4673; Context 4672)",petrous,2021,PattersonNature2021,Direct: IntCal20,3429,28,"1532-1431 calBCE (3222±28 BP, SUERC-41699)","adult , 40-50",England_MBA,"England, Wiltshire, Rowbarrow",United Kingdom,51.052725,-1.7862875,Repulldown on 3.2M snpset,1240K,1,2.209,650598,351772,M,n/a (no relatives detected),R-DF13,R1b1a1b1a1a2c1,111.3,J2b1a,"[0.989,1.000]",0.248,0.46,ss.half,S19858.Y1.E1.L1,PASS,..,
I19859,I19859,"GENLAB 106, 57814 (ID 4662; Context 4663)",petrous,2021,PattersonNature2021,Direct: IntCal20,3401,32,"1504-1403 calBCE (3173±29 BP, SUERC-41695)","infant, 0.1-0.2",England_MBA,"England, Wiltshire, Rowbarrow",United Kingdom,51.052725,-1.7862875,Repulldown on 3.2M snpset,1240K,1,2.326,677305,366044,M,"United Kingdom, England, Wiltshire, Rowbarrow Family A (2 members) (I19859-I19860 are 2nd or 3rd degree relatives)",I-Y10720,I2a1b2,145.5,H3,"[0.956,0.983]",0.206,0.453,ss.half,S19859.Y1.E1.L1,PASS,"Xcontam=[0.008, 0.016]",
I19860,I19860,"GENLAB 107, 57814 (ID 4676; Context 4679)",petrous,2021,PattersonNature2021,Direct: IntCal20,3398,33,"1503-1401 calBCE (3169±28 BP, SUERC-41700)","infant, 0.2-0.3",England_MBA,"England, Wiltshire, Rowbarrow",United Kingdom,51.052725,-1.7862875,Repulldown on 3.2M snpset,1240K,1,0.848,526340,282414,F,"United Kingdom, England, Wiltshire, Rowbarrow Family A (2 members) (I19859-I19860 are 2nd or 3rd degree relatives)",n/a (female),n/a (female),145.7,T2b21,"[0.991,0.999]",0.177,0.011,ss.half,S19860.Y1.E1.L1,PASS,..,
I19913,I19913,"GENLAB 132, ExEKA09, Zone 13 (ID 200090; Context 200089, ExEKA09, Zone 13)",petrous,2021,PattersonNature2021,Direct: IntCal20,3271,50,"1408-1226 calBCE (3055±30 BP, SUERC-40297)","adult , 60-80",England_MBA,"England, Kent, East Kent Access Road",United Kingdom,51.3603,1.3405,Repulldown on 3.2M snpset,1240K,1,1.75,671645,361912,F,n/a (no relatives detected),n/a (female),n/a (female),86.17,J1c2e,"[0.984,0.998]",0.248,0.013,ss.half,S19913.Y1.E1.L1,PASS,..,
I19915,I19915,"GENLAB 134, ExEKA09, Zone 13 (ID 221014; Context 221016, ExEKA09, Zone 13)",petrous,2021,PattersonNature2021,Direct: IntCal20,3422,27,"1519-1422 calBCE (3210±30 BP, SUERC-40300)","adult , 35-45",England_MBA,"England, Kent, East Kent Access Road",United Kingdom,51.3603,1.3405,Repulldown on 3.2M snpset,1240K,1,3.751,769332,417477,F,n/a (no relatives detected),n/a (female),n/a (female),102.9,K1c1,"[0.974,0.991]",0.183,0.013,ss.half,S19915.Y1.E1.L1,PASS,..,
I2448,I2448,SK 9345 (YFPB 95),petrous,2021,PattersonNature2021,Context: Archaeological - Period,3200,144,1500-1000 BCE,..,England_MBA,"England, Oxfordshire, Yarnton",United Kingdom,51.7977,-1.313464,Repulldown on 3.2M snpset,1240K,4,0.620683,490898,265262,M,n/a (no relatives detected),R-CTS6919,R1b1a1b1a1a2c1b1,8.527008,U8a2,"[0.899,0.983]",0.066,0.423,"ds.half,ds.half,ds.half,ds.half,ds.half","S2448.E2.L1,S2448.E2.L2,S2448.E2.L4,S2448.E2.L3,S2448.E2.L5",PASS,..,
I2639,I2639,53535_25217 (25217 (Amber boy)),petrous,2018,OlaldeNature2018,Direct: IntCal20,3430,26,"1532-1435 calBCE (3225±25 BP, NZA-32497)",..,England_MBA,"England, Wiltshire, Amesbury Down",United Kingdom,51.168023,-1.7725402,Repulldown on 3.2M snpset,1240K,1,1.956,579268,317149,F,n/a (no relatives detected),n/a (female),n/a (female),1030,T2e1a,"[0.993,0.999]",0.063,0.01,ds.half,S2639.E1.L2,PASS,..,
I3082,I3082,SB 409B (Burial F4) | SB 409B3 (Burial F4),petrous,2018,OlaldeNature2018,Direct: IntCal20,3386,35,"1499-1326 calBCE (3157±25 BP, NZA-34643)",..,England_MBA,"England, Dorset, Sixpenny Handley, Canada Farm",United Kingdom,50.919204,-2.015441,Repulldown on 3.2M snpset,1240K,2,1.267442,669422,364567,M,n/a (no relatives detected),R-L21,R1b1a1b1a1a2c1,137.500634,H1an1a,"[0.946,0.975]",..,..,"ds.half,ds.half","S3082.L1,S5375.L1",QUESTIONABLE,"Xcontam=[0.013,0.038], mtcontam=[0.946,0.975]",
I7568,I7568,"896 (F. 529, Context 896)",petrous,2018,OlaldeNature2018,Context: Archaeological - Period,3400,87,1600-1300 BCE,adult ,England_MBA,"England, Needingworth Quarry, Over Narrows",United Kingdom,52.34,0.03,Repulldown on 3.2M snpset,1240K,1,3.795249,769062,421439,F,n/a (no relatives detected),n/a (female),n/a (female),103,W1+119,"[0.979,0.990]",0.071,0.013,ds.half,S7568.E1.L1,PASS,extraction.negative.flag,
I7571,I7571,"8389 (F. 1437, Context 8389)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3306,53,"1489-1260 calBCE (3100±40 BP, SUERC-28364)",young adult ,England_MBA,"England, Needingworth Quarry, Over Narrows",United Kingdom,52.34,0.03,Repulldown on 3.2M snpset,1240K,1,3.489105,755787,413925,M,n/a (no relatives detected),R-P312,R1b1a1b1a1a2,115,J1c1,"[0.993,0.999]",0.06,0.423,ds.half,S7571.E1.L1,PASS,extraction.negative.flag,
I7572,I7572,"8248 (F. 1373, Context 8248)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3380,50,"1507-1306 calBCE (3160±40 BP, SUERC-28365)",sub adult / young adult ,England_MBA,"England, Needingworth Quarry, Over Narrows",United Kingdom,52.34,0.03,Repulldown on 3.2M snpset,1240K,1,1.200177,640896,348011,M,n/a (no relatives detected),R-L21,R1b1a1b1a1a2c1,51.7,H13a1a,"[0.956,0.981]",0.084,0.43,ds.half,S7572.E1.L1,PASS,extraction.negative.flag,
I7574,I7574,"6036 (CAMCFT10, Context 6036)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3271,50,"1408-1226 calBCE (3055±30 BP, SUERC-38250)",adult ,England_MBA,"England, Cambridgeshire, Trumpington, Clay Farm",United Kingdom,52.17839,0.122544,Repulldown on 3.2M snpset,1240K,1,4.208989,788671,432284,F,n/a (no relatives detected),n/a (female),n/a (female),201,H1a3,"[0.963,0.979]",0.092,0.012,ds.half,S7574.E1.L1,PASS,"extraction.negative.flag, mtcontam=[0.963,0.979]",
I7575,I7575,"1100 (BEDFM2001.123, Context 1100)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3107,61,"1266-1019 calBCE (2950±35 BP, SUERC-25498)",adult ,England_MBA,"England, Bedfordshire, Biddenham Loop",United Kingdom,52.122402,-0.511365,Repulldown on 3.2M snpset,1240K,1,3.84103,787362,429392,M,n/a (no relatives detected),R-L21,R1b1a1b1a1a2c1,161,U5a1d1,"[0.990,0.998]",0.092,0.423,ds.half,S7575.E1.L1,PASS,extraction.negative.flag,
I7577,I7577,"1115 (BEDFM2001.123, Context 1115)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3198,69,"1386-1123 calBCE (3005±35 BP, SUERC-25499)",mature adult ,England_MBA,"England, Bedfordshire, Biddenham Loop",United Kingdom,52.122402,-0.511365,Repulldown on 3.2M snpset,1240K,1,3.494553,762452,414508,M,n/a (no relatives detected),R-DF13,R1b1a1b1a1a2c1,144,U5a1a1,"[0.988,0.997]",0.153,0.425,ds.half,S7577.E1.L1,PASS,"extraction.negative.flag, Xcontam=[0.005,0.011]",
I7578,I7578,"2528 (BEDFM2001.123, Context 2528)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3080,61,"1256-1013 calBCE (2930±35 BP, SUERC-25497)",sub adult ,England_MBA,"England, Bedfordshire, Biddenham Loop",United Kingdom,52.122402,-0.511365,Repulldown on 3.2M snpset,1240K,1,3.878426,775281,423488,F,n/a (no relatives detected),n/a (female),n/a (female),183,U5a2c,"[0.984,0.994]",0.086,0.01,ds.half,S7578.E1.L1,PASS,extraction.negative.flag,
I7626,I7626,"556 (BEDFM2003.1, Context 556)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3231,65,"1399-1130 calBCE (3025±35 BP, SUERC-25533)",sub adult ,England_MBA,"England, Bedfordshire, Biddenham Loop",United Kingdom,52.122402,-0.511365,Repulldown on 3.2M snpset,1240K,1,3.094021,767749,417790,F,n/a (no relatives detected),n/a (female),n/a (female),163,T2b,"[0.995,0.999]",0.118,0.014,ds.half,S7626.E1.L1,PASS,..,
I7627,I7627,"1327 (BEDFM2003.1, Context 1327)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3268,54,"1412-1222 calBCE (3055±35 BP, SUERC-25538)",sub adult ,England_MBA,"England, Bedfordshire, Biddenham Loop",United Kingdom,52.122402,-0.511365,Repulldown on 3.2M snpset,1240K,1,4.199714,779682,427854,F,n/a (no relatives detected),n/a (female),n/a (female),222,U4a,"[0.980,0.989]",0.085,0.01,ds.half,S7627.E1.L1,PASS,..,
I7640,I7640,SB617A,petrous,2018,OlaldeNature2018,Direct: IntCal20,3307,45,"1434-1278 calBCE (3100±30 BP, SUERC-28349)",..,England_MBA,"England, Cambridgeshire, Trumpington, Clay Farm",United Kingdom,52.17839,0.122544,Repulldown on 3.2M snpset,1240K,1,3.615529,784413,428231,M,n/a (no relatives detected),R-Z2185,R1b1a1b1a1a2c1,135,U5a2c2,"[0.988,0.997]",0.06,0.423,ds.half,S7640.E1.L1,PASS,..,
I13716,I13716,"GENLAB 146, 70760 (ID 982; Context 984) | 70760, 984 (ID 982; Context 984)",petrous; tooth (molar); tooth (molar); tooth (molar); tooth (molar),2021,PattersonNature2021,Direct: IntCal20,3223,62,"1391-1129 calBCE (3019±31 BP, SUERC-49774)","adult , 35-40",England_MBA_highEEF,"England, Kent, Margetts Pit",United Kingdom,51.3323,0.4784,Repulldown on 3.2M snpset,1240k,5,3.465573,857617,470086,F,n/a (no relatives detected),n/a (female),n/a (female),545.25765,H11a,..,0.01,0.01,"ds.half,ds.half,ds.half,ds.half,ds.half","S13716.Y1.E1.L1,S21255.Y1.E2.L1,S21255.Y1.E3.L1,S21255.Y1.E4.L1,S21255.Y1.E5.L1",PASS,..,
I2458,I2458,85680_61231,petrous,2018,OlaldeNature2018,Direct: IntCal20,3331,51,"1495-1286 calBCE (3122±34 BP, SUERC-49182)",17-18,England_MBA_highEEF,"England, Wiltshire, Amesbury Down",United Kingdom,51.168023,-1.7725402,Repulldown on 3.2M snpset,1240K,1,3.26,812154,440559,F,n/a (no relatives detected),n/a (female),n/a (female),187.087935,U5b3,"[0.972,0.989]",0.095,..,ds.half,S2458.E1.L2,PASS,..,
I13618,I13618,"GENLAB 145, 70760 (ID 411; Context 412)",bone,2021,PattersonNature2021,Direct: IntCal20,3116,52,"1261-1055 calBCE (2956±28 BP, SUERC-49769)","adult , 18-21",England_MBA_lc,"England, Kent, Margetts Pit",United Kingdom,51.3323,0.4784,Repulldown on 3.2M snpset,1240K,1,0.005778,6749,3631,F,n/a (no relatives detected),n/a (female),n/a (female),0.9761,n/a (<2x),n/a (<2x),0.082,0.011,ds.half,S13618.E1.L1,PASS,..,
I7580,I7580,"425 (BEDFM2003.1, Context 425)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3087,61,"1257-1016 calBCE (2935±35 BP, SUERC-25537)",young adult ,England_MBA_lowEEF,"England, Bedfordshire, Biddenham Loop",United Kingdom,52.122402,-0.511365,Repulldown on 3.2M snpset,1240K,1,3.993794,769760,421565,F,"United Kingdom, England, Bedfordshire, Biddenham Loop Family A (2 members) (I7579 and I7580 are sisters)",n/a (female),n/a (female),214,U5b2a1a,"[0.995,1.000]",0.126,0.012,ds.half,S7580.E1.L1,PASS,extraction.negative.flag,
I7579,I7579,"360 (BEDFM2003.1, Context 360)",petrous,2018,OlaldeNature2018,Direct: IntCal20,3349,53,"1499-1299 calBCE (3135±35 BP, SUERC-25532)",young adult ,England_MBA_sister.I7580,"England, Bedfordshire, Biddenham Loop",United Kingdom,52.122402,-0.511365,Repulldown on 3.2M snpset,1240K,1,3.341431,765119,416961,F,"United Kingdom, England, Bedfordshire, Biddenham Loop Family A (2 members) (I7579 and I7580 are sisters)",n/a (female),n/a (female),180,U5b2a1a,"[0.985,0.994]",0.119,0.01,ds.half,S7579.E1.L1,PASS,extraction.negative.flag,
I11146,I11146,"GENLAB 19, M17",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2250,58,400-200 BCE,..,England_MIA,"England, Somerset, Meare Lake Village West",United Kingdom,51.176318,-2.796919,Repulldown on 3.2M snpset,1240K,1,0.15191,156478,80787,M,n/a (no relatives detected),R-L52,R1b1a1b1a1,15.06,J1c1c,"[0.951,0.992]",0.0525,0.401,ds.half,S11146.E1.L1,PASS,..,
I11147,I11147,"GENLAB 22, Pit X",petrous,2021,PattersonNature2021,Direct: IntCal20,2241,58,"392-204 calBCE (2248±30 BP, SUERC-94978)",..,England_MIA,"England, Somerset, Christon, Dibbles Farm",United Kingdom,51.313891,-2.885217,Repulldown on 3.2M snpset,1240K,1,4.611682,785069,421793,F,n/a (no relatives detected),n/a (female),n/a (female),1302,U5a1b1e,"[0.98,0.998]",0.1205,0.008,ds.half,S11147.E1.L1,PASS,..,
I11148,I11148,"GENLAB 25, Pit XXXVII",petrous,2021,PattersonNature2021,Direct: IntCal20,2292,61,"407-211 calBCE (2297±30 BP, SUERC-94981)",..,England_MIA,"England, Somerset, Christon, Dibbles Farm",United Kingdom,51.313891,-2.885217,Repulldown on 3.2M snpset,1240K,1,4.315152,779606,418374,F,n/a (no relatives detected),n/a (female),n/a (female),1263,U6d1,"[0.978,0.994]",0.1185,0.01,ds.half,S11148.E1.L1,QUESTIONABLE,..,
I11150,I11150,"GENLAB 73, F. 384, con. 1415, cat, 610",petrous,2021,PattersonNature2021,Direct: IntCal20,2227,53,"381-197 calBCE (2215±28 BP, SUERC-86441)",..,England_MIA,"England, Bedfordshire, Broom Quarry",United Kingdom,52.079115,-0.280974,Repulldown on 3.2M snpset,1240K,1,4.199268,770283,413451,M,n/a (no relatives detected),R-Z253,R1b1a1b1a1a2c1,921.5,H15a1,"[0.985,0.999]",0.1205,0.415,ds.half,S11150.E1.L1,QUESTIONABLE,..,
I11151,I11151,"GENLAB 74, F.855, con. 3368, cat, 1858",petrous,2021,PattersonNature2021,Direct: IntCal20,2227,53,"379-197 calBCE (2214±27 BP, SUERC-97413)",..,England_MIA,"England, Bedfordshire, Broom Quarry",United Kingdom,52.079115,-0.280974,Repulldown on 3.2M snpset,1240K,1,3.800546,764914,412044,M,n/a (no relatives detected),R-DF63,R1b1a1b1a1a2c1,1276,K1a+195,"[0.986,0.999]",0.1045,0.418,ds.half,S11151.E1.L1,QUESTIONABLE,..,
I11153,I11153,"GENLAB 77, F. 339, Sk. 938, cat. 4785 (F. 339; Sk. 938, cat. 4785)",petrous,2021,PattersonNature2021,Direct: IntCal20,2285,62,"405-209 calBCE (2291±29 BP, SUERC-49492)",..,England_MIA,"England, Cambridgeshire, Trumpington Meadows",United Kingdom,52.170279,0.105604,Repulldown on 3.2M snpset,1240K,1,4.060328,789690,422809,M,n/a (no relatives detected),R-BY11117,R1b1a1b1a1a2c1a5c2,2264,H3b,"[0.995,1]",0.0685,0.413,ds.half,S11153.E1.L1,QUESTIONABLE,"Xcontam=[0.005,0.01]",
I11156,I11156,"GENLAB 84, F.613, con. 573, cat. 331",petrous,2021,PattersonNature2021,Direct: IntCal20,2229,52,"382-200 calBCE (2223±26 BP, BRAMS-1695)",..,England_MIA,"England, Cambridgeshire, Whittlesey, Bradley Fen",United Kingdom,52.564022,-0.179454,Repulldown on 3.2M snpset,1240K,1,4.133305,781451,419446,M,n/a (no relatives detected),R-Y2890,R1b1a1b1a1a2c1a5,896.7,J1c3,"[0.977,0.996]",0.105,0.414,ds.half,S11156.E1.L1,PASS,..,
I11997,I11997,"GENLAB 85, F.781, con. 785, cat. 445",petrous,2021,PattersonNature2021,Direct: IntCal20,2227,53,"377-197 calBCE (2213±26 BP, BRAMS-1691)",..,England_MIA,"England, Cambridgeshire, Whittlesey, Bradley Fen",United Kingdom,52.564022,-0.179454,Repulldown on 3.2M snpset,1240K,1,4.209248,857489,468105,M,n/a (no relatives detected),R-FGC36421,R1b1a1b1a1a2c1b2a1a1a,226.7,X2b+226,"[0.954,0.980]",0.083,0.406,ds.half,S11997.E1.L1,PASS,..,
I12770,I12770,"SB 476, CPC02Y3-039",petrous,2021,PattersonNature2021,Direct: IntCal20,2225,64,"390-171 calBCE (2217±44 BP, UBA-30798)",..,England_MIA,"England, Derbyshire, Brassington, Carsington Pasture Cave",United Kingdom,53.079803,-1.640942,Repulldown on 3.2M snpset,1240K,1,2.611434,820136,451331,F,n/a (no relatives detected),n/a (female),n/a (female),693.6,H3b1b1,"[0.995,1.000]",0.049,0.006,ds.half,S12770.Y1.E1.L1,PASS,damage.ds.half=0.049,
I12771,I12771,"SB 479, CPC99-029",petrous,2021,PattersonNature2021,Direct: IntCal20,2326,64,"513-210 calBCE (2321±36 BP, UBA-32284)",..,England_MIA,"England, Derbyshire, Brassington, Carsington Pasture Cave",United Kingdom,53.079803,-1.640942,Repulldown on 3.2M snpset,1240K,1,3.215414,834383,460033,M,n/a (no relatives detected),R-Y30754,R1b1a1b1a1a2a,339.5,U5b2a2a,"[0.985,0.998]",0.06,0.395,ds.half,S12771.Y1.E1.L1,PASS,..,
I12775,I12775,"TB 103, CPC-98-018",petrous,2021,PattersonNature2021,Direct: IntCal20,2225,53,"361-177 calBCE (2200±20 BP, PSUAMS-8287)",neonate,England_MIA,"England, Derbyshire, Brassington, Carsington Pasture Cave",United Kingdom,53.079803,-1.640942,Repulldown on 3.2M snpset,1240K,1,2.94599,790135,439944,M,n/a (no relatives detected),R-DF21,R1b1a1b1a1a2c1a5,671.8,U5a1b1e,"[0.986,0.999]",0.049,0.408,ds.half,S12775.Y1.E1.L1,PASS,damage.ds.half=0.049,
I12778,I12778,"TB 106, CPC98-011",petrous,2021,PattersonNature2021,Direct: IntCal20,2230,51,"381-203 calBCE (2230±20 BP, PSUAMS-8289)",neonate,England_MIA,"England, Derbyshire, Brassington, Carsington Pasture Cave",United Kingdom,53.079803,-1.640942,Repulldown on 3.2M snpset,1240K,1,2.836386,838659,460870,M,n/a (no relatives detected),R-DF5,R1b1a1b1a1a2c1a5b1a1a,964.3,H4a1a2,"[0.988,0.998]",0.04,0.401,ds.half,S12778.Y1.E1.L1,PASS,damage.ds.half=0.04,
I13615,I13615,"GENLAB 121, ExEKA09, Zone 12 (ID 136049; Context 126013, ExEKA09, Zone 12)",tooth (premolar),2021,PattersonNature2021,Context: Archaeological - Period,2250,58,400-200 BCE,"adult , 21-25",England_MIA,"England, Kent, East Kent Access Road",United Kingdom,51.3603,1.3405,Repulldown on 3.2M snpset,1240K,1,1.709382,691169,380547,M,n/a (no relatives detected),R-DF13,R1b1a1b1a1a2c1,639.8,H1c,"[0.991,1.000]",0.136,0.414,ds.half,S13615.E1.L1,PASS,..,
I13680,I13680,"GENLAB 71 (con. 1057, cat. 39, F.1011)",tooth (molar),2021,PattersonNature2021,Direct: IntCal20,2224,55,"366-176 calBCE (2203±26 BP, SUERC-73822)",..,England_MIA,"England, Somerset, Ham Hill",United Kingdom,50.949985,-2.735842,Repulldown on 3.2M snpset,1240K,1,0.513842,409857,221094,M,n/a (no relatives detected),R-Z16887,R1b1a1b1a1a2c1a1k,168,U5a2a1,"[0.993,1.000]",0.11,0.392,ds.half,S13680.E1.L1,PASS,..,
I13685,I13685,GENLAB 24 (Pit XLIV),tooth (molar),2021,PattersonNature2021,Direct: IntCal20,2265,63,"400-208 calBCE (2276±30 BP, SUERC-94980)",..,England_MIA,"England, Somerset, Christon, Dibbles Farm",United Kingdom,51.313891,-2.885217,Repulldown on 3.2M snpset,1240K,1,1.383824,709638,386487,F,n/a (no relatives detected),n/a (female),n/a (female),168.2,U5a1b1e,"[0.993,1.000]",0.12,0.01,ds.half,S13685.E1.L1,PASS,..,
I13687,I13687,"GENLAB 79 (F.616; Sk. 1419, cat.6451)",tooth (molar),2021,PattersonNature2021,Direct: IntCal20,2222,58,"368-173 calBCE (2200±30 BP, SUERC-49491)",..,England_MIA,"England, Cambridgeshire, Trumpington Meadows",United Kingdom,52.170279,0.105604,Repulldown on 3.2M snpset,1240K,1,2.322132,780996,426451,F,n/a (no relatives detected),n/a (female),n/a (female),252,W1c,"[0.980,0.995]",0.077,0.01,ds.half,S13687.E1.L1,PASS,..,
I13717,I13717,"GENLAB 147, 62413 (ID 25040; Context 25043)",petrous,2021,PattersonNature2021,Direct: IntCal20,2259,62,"398-208 calBCE (2270±30 BP, SUERC-26240)","adult , 34-45",England_MIA,"England, Hampshire, Barton-Stacey Pipeline",United Kingdom,51.15,-1.36,Repulldown on 3.2M snpset,1240K,1,4.390769,819241,452721,F,n/a (no relatives detected),n/a (female),n/a (female),453.2,U5a1a1,"[0.994,1.000]",0.121,0.01,ds.half,S13717.Y1.E1.L1,PASS,..,
I13727,I13727,"GENLAB 80 (F493, Sk. 1165, cat.5834)",petrous,2021,PattersonNature2021,Direct: IntCal20,2243,57,"389-208 calBCE (2249±20 BP, SUERC-41926)",..,England_MIA,"England, Cambridgeshire, Trumpington Meadows",United Kingdom,52.170279,0.105604,Repulldown on 3.2M snpset,1240K,1,4.27692,845660,464963,F,n/a (no relatives detected),n/a (female),n/a (female),413.8,T1a1,"[0.990,0.999]",0.132,0.007,ds.half,S13727.Y1.E1.L1,PASS,..,
